Name,URL,Volume,Ring,Quadrant,shorturl,Description
Aleph.js,https://www.thoughtworks.com/radar/languages-and-frameworks/aleph-js,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2pawh2eu,"There is certainly no shortage of frameworks to build web applications in JavaScript/ TypeScript . We've featured many of them in the Radar, but what sets  Aleph.js  apart in this crowded field is that it's built to run on  Deno , the new server-side run time created by the original developer of  Node . This puts Aleph.js on a modern foundation that addresses several shortcomings and problems with Node. Aleph.js is still new "" it's approaching the 1.0 release at the time of writing "" but it already offers a solid developer experience, including hot module replacement. With Deno now way past its  1.0 release , this is a modern choice for projects that can take the risk."
Apache Superset,https://www.thoughtworks.com/radar/tools/apache-superset,Oct-22,Trial,Tools,https://tinyurl.com/2hkz9jql,"Apache Superset  is a great business intelligence (BI) tool for data exploration and visualization to work with large data lake and data warehouse setups. It supports several  data sources  "" including AWS Redshift,  BigQuery , Azure MS SQL,  Snowflake  and  ClickHouse . Moreover, you don't have to be a data engineer to use it; it's meant to benefit all engineers exploring data in their everyday work. For demanding use cases, we found it easy to scale Superset by deploying it in a  Kubernetes  cluster. Since we last talked about it in the Radar, Superset has graduated as an Apache product, and we've seen great success in several projects."
Astro,https://www.thoughtworks.com/radar/languages-and-frameworks/astro,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2ft9vadn,"It's hard to believe, but in 2022, the developer community continues to pump out interesting new frameworks for building web applications.  Astro  is a recent, open-source, multi-page application framework that renders HTML on the server and minimizes the amount of JavaScript sent over the wire. Astro seems particularly well-suited to content-oriented websites that pull from many different sources. We like the fact that although Astro encourages sending only HTML, it still supports "" when appropriate "" select active components written in the front-end JavaScript framework of your choice. It does this through its  island architecture . Islands are regions of interactivity within a single page where the necessary JavaScript is downloaded only when needed. Astro is relatively new but seems to support a growing ecosystem of developers and code. It's one to watch as it develops."
AWS Backup Vault Lock,https://www.thoughtworks.com/radar/tools/aws-backup-vault-lock,Oct-22,Trial,Tools,https://tinyurl.com/2f2szg4f,"When implementing robust, secure and reliable disaster recovery, its necessary to ensure that backups can't be deleted or altered before their expiry, either maliciously or accidentally. Previously, with AWS Backup, these policies and guarantees had to be implemented by hand. Recently, AWS has added the Vault Lock feature to ensure backups are immutable and untamperable.  AWS Backup Vault Lock  enforces retention and deletion policies and prevents even those with administrator privileges from altering or deleting backup files. This has proved to be a valuable addition and fills a previously empty space."
AWS Control Tower,https://www.thoughtworks.com/radar/tools/aws-control-tower,Oct-22,Trial,Tools,https://tinyurl.com/2hmu2r5r,"Multi-team account management is a challenge in AWS, especially in setup and governance;  AWS Control Tower  is an attempt to address this challenge. Our team has reported good results using it to manage accounts and access control for multiple teams in the organization through a single, centralized place."
AWS Database Migration Service,https://www.thoughtworks.com/radar/platforms/aws-database-migration-service,Oct-22,Trial,Platforms,https://tinyurl.com/2pzcqxxh,"Many of our teams have successfully used  AWS Database Migration Service  (DMS) to migrate data to and from AWS. In one of our Digital Transformation engagements, we achieved nearly zero downtime cut-over to the new system as we migrated data from Microsoft SQL Server to an AWS Relational Database Service (RDS) PostgreSQL instance. Such transformations involve many moving parts that require planning and coordination across multidisciplinary teams, but for data migration we're quite happy with DMS. It automatically manages the deployment, management and monitoring of all required resources. Over the years DMS has matured to support several  source  and  target  databases, and we continue to like it."
Azure Bicep,https://www.thoughtworks.com/radar/languages-and-frameworks/azure-bicep,Oct-22,Trial,Languages & Frameworks,https://tinyurl.com/2z9lvt9d,"For those who prefer a more natural language than JSON for infrastructure code,  Azure Bicep  is a domain-specific language (DSL) that uses a declarative syntax and supports reusable parameterized templates for modular resource definitions. A  Visual Studio Code extension  provides instant type safety, intellisense and syntax checking, while the compiler allows bidirectional transpilation to and from Azure Resource Manager (ARM) templates. Bicep's resource-oriented DSL and native integration with the Azure ecosystem make it a compelling choice for Azure infrastructure development."
Backstage,https://www.thoughtworks.com/radar/platforms/backstage,Oct-22,Adopt,Platforms,https://tinyurl.com/2fqr6n5s,"In an increasingly digital world, improving developer effectiveness in large organizations is often a core concern of senior leaders. We've seen enough value with developer portals in general and  Backstage  in particular that we're happy to recommend it in Adopt. Backstage is an open-source developer portal platform created by Spotify that improves discovery of software assets across the organization. It uses Markdown  TechDocs  that live alongside the code for each service, which nicely balances the needs of centralized discovery with the need for distributed ownership of assets. Backstage supports software templates to accelerate new development and a plugin architecture that allows for extensibility and adaptability into an organization's infrastructure ecosystem.  Backstage Service Catalog  uses YAML files to track ownership and metadata for all the software in an organization's ecosystem; it even lets you track third-party SaaS software, which usually requires tracking ownership."
BentoML,https://www.thoughtworks.com/radar/languages-and-frameworks/bentoml,Oct-22,Assess,Languages & Frameworks,https://tinyurl.com/2l8syruf,"BentoML  is a python-first framework for serving machine-learning models in production at scale. The models it provides are agnostic of their environment; all model artifacts, source code and dependencies are encapsulated in a self-contained format called Bento. It's like having your model ""as a service."" Think of BentoML as the  Docker  for ML models: It generates VM images with pre-programmed APIs ready for deployment and includes features that make it easy to test these images. BentoML can help speed up the initial development effort by easing the start of projects which is why we included it in Assess."
BERT,https://www.thoughtworks.com/radar/techniques/bert,Oct-22,Trial,Techniques,https://tinyurl.com/2oum8er5,"Since we last talked about  BERT  (Bidirectional Encoder Representations from Transformers) in the Radar, our teams have successfully used it in a few natural language processing (NLP) projects. In one of our engagements, we observed significant improvements when we switched from the default BERT tokenizer to a domain-trained word-piece tokenizer for queries that contain nouns like brand names or dimensions. Although NLP has several new transformer models, BERT is well understood with good documentation and a vibrant community, and we continue to find it effective in an enterprise NLP context."
